web-scraper-order,web-scraper-start-url,link,link-href,intervenant1,intervenant_metier1,intervenant2,intervenant3,intervenant_metier2,intervenant_metier3
"1746611281-1","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2012-06-21&field_date_prononciation_discour_interval%5Bmax%5D=2014-03-31&field_type_de_document%5B9353%5D=9353&page= 87","Interview de M. Jean-Marc Ayrault, Premier ministre, à ""Die Zeit"" du 21 juin 2012, sur les euro-obligations, la mise en place d'une union bancaire, le renforcement du mécanisme européen de stabilité et la préparation du conseil européen à Bruxelles fin juin.","https://www.vie-publique.fr/discours/185348-interview-de-m-jean-marc-ayrault-premier-ministre-die-zeit-du-21","Jean-Marc Ayrault","Jean-Marc Ayrault","","","",""
"1746611283-2","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2012-06-21&field_date_prononciation_discour_interval%5Bmax%5D=2014-03-31&field_type_de_document%5B9353%5D=9353&page= 87","Interview de Mme Najat Vallaud-Belkacem, ministre des droits des femmes, porte parole du Gouvernement, dans ""Le Journal du Dimanche"" du 24 juin 2012, sur la parité en politique, l'égalité professionnelle et la prostitution.","https://www.vie-publique.fr/discours/185402-interview-de-mme-najat-vallaud-belkacem-ministre-des-droits-des-femmes","Najat Vallaud-Belkacem","Najat Vallaud-Belkacem","","","",""
"1746611286-3","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2012-06-21&field_date_prononciation_discour_interval%5Bmax%5D=2014-03-31&field_type_de_document%5B9353%5D=9353&page= 87","Extraits d'un entretien de Mme Hélène Conway-Mouret, ministre des Français de l'étranger, avec RFI le 25 juin 2012, sur la politique du gouvernement en faveur des Français de l'étranger.","https://www.vie-publique.fr/discours/185353-extraits-dun-entretien-de-mme-helene-conway-mouret-ministre-des-franca","Hélène Conway-Mouret","Hélène Conway-Mouret","","","",""
"1746611288-4","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2012-06-21&field_date_prononciation_discour_interval%5Bmax%5D=2014-03-31&field_type_de_document%5B9353%5D=9353&page= 87","Entretien de M. Pascal Canfin, ministre du développement, avec le site internet ""Terraeco"" le 26 juin 2006, sur le bilan de la Conférence des Nations unies sur le développement durable, le 26 juin 2012","https://www.vie-publique.fr/discours/185365-entretien-de-m-pascal-canfin-ministre-du-developpement-avec-le-site","Pascal Canfin","Pascal Canfin","","","",""
"1746611291-5","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2012-06-21&field_date_prononciation_discour_interval%5Bmax%5D=2014-03-31&field_type_de_document%5B9353%5D=9353&page= 87","Extraits d'un entretien de M. Bernard Cazeneuve, dans ""Le Monde"" du 27 juin 2012, sur les mesures à prendre pour résoudre la crise de la Zone euro.","https://www.vie-publique.fr/discours/185363-extraits-dun-entretien-de-m-bernard-cazeneuve-dans-le-monde-du-27-j","Bernard Cazeneuve","Bernard Cazeneuve","","","",""
"1746611293-6","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2012-06-21&field_date_prononciation_discour_interval%5Bmax%5D=2014-03-31&field_type_de_document%5B9353%5D=9353&page= 87","Extraits d'un entretien de M. Bernard Cazeneuve, ministre des affaires européennes, avec Itélé le 28 juin 2012, sur la relation franco-allemande dans le cadre européen et sur les mesures en faveur de la croissance économique au sein de l'Union européenne.","https://www.vie-publique.fr/discours/185377-extraits-dun-entretien-de-m-bernard-cazeneuve-ministre-des-affaires-e","Bernard Cazeneuve","Bernard Cazeneuve","","","",""
"1746611299-7","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2012-06-21&field_date_prononciation_discour_interval%5Bmax%5D=2014-03-31&field_type_de_document%5B9353%5D=9353&page= 86","Interview de Mme Marylise Lebranchu, ministre de la réforme de l'Etat, de la décentralisation et de la fonction publique, dans ""Acteurs publics"" du 28 juin 2012, sur le périmètre de son ministère, la fin de la révision générale des politiques publiques (RGPP), le projet de ""nouvel acte"" de décentralisation avec la suppression du conseiller territorial et la gestion des personnels des fonctions publiques.","https://www.vie-publique.fr/discours/185432-interview-de-mme-marylise-lebranchu-ministre-de-la-reforme-de-letat-d","Marylise Lebranchu","Marylise Lebranchu","","","",""
"1746611301-8","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2012-06-21&field_date_prononciation_discour_interval%5Bmax%5D=2014-03-31&field_type_de_document%5B9353%5D=9353&page= 86","Entretien de M. Laurent Fabius, ministre des affaires étrangères, avec TF1 le 1er juillet 2012, sur la position du Conseil de sécurité de l'ONU face à la situation politique en Syrie.","https://www.vie-publique.fr/discours/185420-entretien-de-m-laurent-fabius-ministre-des-affaires-etrangeres-avec-t","Laurent Fabius","Laurent Fabius","","","",""
"1746611304-9","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2012-06-21&field_date_prononciation_discour_interval%5Bmax%5D=2014-03-31&field_type_de_document%5B9353%5D=9353&page= 86","Interview de M. Stéphane Le Foll, ministre de l'agriculture, de l'agroalimentaire et de la forêt, dans ""Alim'agri"" de juillet 2012, sur les bilan de ses deux premiers mois d'activité au ministère, sur le projet de loi-cadre pour l'agriculture et l'avenir de la PAC.","https://www.vie-publique.fr/discours/185596-interview-de-m-stephane-le-foll-ministre-de-lagriculture-de-lagroal","Stéphane Le Foll","Stéphane Le Foll","","","",""
"1746611306-10","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2012-06-21&field_date_prononciation_discour_interval%5Bmax%5D=2014-03-31&field_type_de_document%5B9353%5D=9353&page= 86","Extraits d'un entretien de M. Bernard Cazeneuve, ministre des affaires européennes, avec Europe 1 le 2 juillet 2012, sur les relations franco-allemandes et la crise de la Zone euro.","https://www.vie-publique.fr/discours/185421-extraits-dun-entretien-de-m-bernard-cazeneuve-ministre-des-affaires-e","Bernard Cazeneuve","Bernard Cazeneuve","","","",""
