web-scraper-order,web-scraper-start-url,link,link-href,intervenant1,intervenant_metier1,intervenant2,intervenant3,intervenant_metier2,intervenant_metier3
"1746566520-1","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2007-06-19&field_date_prononciation_discour_interval%5Bmax%5D=2010-11-14&field_type_de_document%5B9353%5D=9353&page= 347","Interview de M. Jean-Marc Ayrault, député PS, sur ""LCI"" le 19 juin 2007, sur les personnalités composant le nouveau gouvernement, la tenue d'un conseil national du Parti socialiste devant fixer le calendrier de la rénovation du PS, ainsi que sur sa candidature à sa propre succession à la présidence du groupe socialiste à l'Assemblée nationale.","https://www.vie-publique.fr/discours/166908-interview-de-m-jean-marc-ayrault-depute-ps-sur-lci-le-19-juin-2007","Christophe Barbier","Christophe Barbier","","","",""
"1746566522-2","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2007-06-19&field_date_prononciation_discour_interval%5Bmax%5D=2010-11-14&field_type_de_document%5B9353%5D=9353&page= 347","Interview de M. Jean-Claude Mailly, secrétaire général de FO, dans ""Le Figaro"" du 19 juin 2007, sur les négociations entre syndicats et patronat concernant notamment le contrat de travail et l'assurance-chômage, sur la TVA sociale et le projet de service minimum.","https://www.vie-publique.fr/discours/166929-interview-de-m-jean-claude-mailly-secretaire-general-de-fo-dans-le-f","Jean-Claude Mailly","Jean-Claude Mailly","","","",""
"1746566525-3","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2007-06-19&field_date_prononciation_discour_interval%5Bmax%5D=2010-11-14&field_type_de_document%5B9353%5D=9353&page= 347","Interview de M. Bernard Thibault, secrétaire général de la CGT à France 2 le 19 juin 2007, sur les relations du travail, le projet de contrat unique de travail et la TVA sociale.","https://www.vie-publique.fr/discours/166932-interview-de-m-bernard-thibault-secretaire-general-de-la-cgt-france","Bernard Thibault","Bernard Thibault","","","",""
"1746566527-4","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2007-06-19&field_date_prononciation_discour_interval%5Bmax%5D=2010-11-14&field_type_de_document%5B9353%5D=9353&page= 347","Interview de M. Michel Barnier, ministre de l'agriculture et de la pêche, sur ""France Inter"" le 20 juin 2007, sur les négociations à venir concernant la politique agricole dans le cadre de l'OMC ainsi que sur son souhait d'une approche européenne de la question des cultures d'OGM en plein champ.","https://www.vie-publique.fr/discours/166941-interview-de-m-michel-barnier-ministre-de-lagriculture-et-de-la-peche","Michel Barnier","Michel Barnier
               ;","Nicolas Demorand","","Nicolas Demorand",""
"1746566530-5","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2007-06-19&field_date_prononciation_discour_interval%5Bmax%5D=2010-11-14&field_type_de_document%5B9353%5D=9353&page= 347","Interview de M. Jean-Marie Bockel, secrétaire d'Etat à la coopération et à la francophonie, à LCI le 20 juin 2007, notamment sur les raisons de son entrée au gouvernement et sa vision de la vie politique.","https://www.vie-publique.fr/discours/166946-interview-de-m-jean-marie-bockel-secretaire-detat-la-cooperation-et","Jean-Marie Bockel","Jean-Marie Bockel","","","",""
"1746566532-6","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2007-06-19&field_date_prononciation_discour_interval%5Bmax%5D=2010-11-14&field_type_de_document%5B9353%5D=9353&page= 347","Interview de M. Laurent Wauquiez, secrétaire d'Etat, porte-parole du gouvernement, à RTL le 20 juin 2007, sur l'impact du thème de la TVA sociale sur les résultats des élections législatives et sur l'activité parlementaire.","https://www.vie-publique.fr/discours/166952-interview-de-m-laurent-wauquiez-secretaire-detat-porte-parole-du-gou","Laurent Wauquiez","Laurent Wauquiez
               ;","Jean-Michel Aphatie","","Jean-Michel Aphatie",""
"1746566535-7","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2007-06-19&field_date_prononciation_discour_interval%5Bmax%5D=2010-11-14&field_type_de_document%5B9353%5D=9353&page= 347","Interview de M. Christian Estrosi, secrétaire d'Etat chargé de l'outre-mer, à France 2 le 20 juin 2007, sur la nomination de Jean-Louis Borloo au ministère de l'écologie, du développement et de l'aménagement durables, et sur ses propres attributions au secrétariat d'Etat à l'outre-mer.","https://www.vie-publique.fr/discours/166953-interview-de-m-christian-estrosi-secretaire-detat-charge-de-loutre-m","Christian Estrosi","Christian Estrosi","","","",""
"1746566537-8","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2007-06-19&field_date_prononciation_discour_interval%5Bmax%5D=2010-11-14&field_type_de_document%5B9353%5D=9353&page= 347","Interview de Mme Laurence Parisot, présidente du MEDEF à RMC le 20 juin 2007, sur la politique économique du gouvernement, notamment les droits de succession, les heures supplémentaires et la TVA sociale.","https://www.vie-publique.fr/discours/259833-laurence-parisot-20062007-droits-succession-heure-sup-tva-sociale","Laurence Parisot","Laurence Parisot","","","",""
"1746566540-9","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2007-06-19&field_date_prononciation_discour_interval%5Bmax%5D=2010-11-14&field_type_de_document%5B9353%5D=9353&page= 347","Interview de Jean-Marie Bockel, secrétaire d'Etat à la coopération et à la francophonie, à RTL le 21 juin 2007, sur les raisons de son entrée au gouvernement et sa vision de la vie politique.","https://www.vie-publique.fr/discours/166947-interview-de-jean-marie-bockel-secretaire-detat-la-cooperation-et","Jean-Marie Bockel","Jean-Marie Bockel","","","",""
"1746566542-10","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2007-06-19&field_date_prononciation_discour_interval%5Bmax%5D=2010-11-14&field_type_de_document%5B9353%5D=9353&page= 347","Interview de Mme Valérie Pécresse, ministre de l'enseignement supérieur et de la recherche, à France Info le 21 juin 2007, sur le projet de réforme des universités.","https://www.vie-publique.fr/discours/167043-interview-de-mme-valerie-pecresse-ministre-de-lenseignement-superieur","Valérie Pécresse","Valérie Pécresse","","","",""
