web-scraper-order,web-scraper-start-url,link,link-href,intervenant1,intervenant_metier1,intervenant2,intervenant3,intervenant_metier2,intervenant_metier3
"1746614042-1","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2014-08-26&field_date_prononciation_discour_interval%5Bmax%5D=2016-12-06&field_type_de_document%5B9353%5D=9353&page= 147","Interview de M. Jean-Marie Le Guen, secrétaire d'Etat aux relations avec le Parlement, à France Inter le 26 août 2014, sur le remaniement du gouvernement et les relations entre le gouvernement et sa majorité au Parlement.","https://www.vie-publique.fr/discours/192203-interview-de-m-jean-marie-le-guen-secretaire-detat-aux-relations-avec","Jean-Marie Le Guen","Jean-Marie Le Guen","","","",""
"1746614044-2","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2014-08-26&field_date_prononciation_discour_interval%5Bmax%5D=2016-12-06&field_type_de_document%5B9353%5D=9353&page= 147","Interview de M. Michel Sapin, ministre des finances et des comptes publics, à ""France Inter"" le 27 août 2014, sur le remaniement ministériel et les critiques qu'il suscite, notamment à gauche, et sur ses choix économiques.","https://www.vie-publique.fr/discours/192145-interview-de-m-michel-sapin-ministre-des-finances-et-des-comptes-publi","Michel Sapin","Michel Sapin
               ;","Patrick Cohen","","Patrick Cohen",""
"1746614047-3","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2014-08-26&field_date_prononciation_discour_interval%5Bmax%5D=2016-12-06&field_type_de_document%5B9353%5D=9353&page= 147","Interview de M. Stéphane Le Foll, ministre de l'agriculture, de l'agroalimentaire et de la forêt, porte-parole du gouvernement, à ""RMC/BFMTV"" le 27 août 2014, sur le remaniement ministériel et les différents chantiers du nouveau gouvernement.","https://www.vie-publique.fr/discours/192146-interview-de-m-stephane-le-foll-ministre-de-lagriculture-de-lagroal","Stéphane Le Foll","Stéphane Le Foll
               ;","Jean-Jacques Bourdin","","Jean-Jacques Bourdin",""
"1746614050-4","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2014-08-26&field_date_prononciation_discour_interval%5Bmax%5D=2016-12-06&field_type_de_document%5B9353%5D=9353&page= 147","Interview de M. Laurent Fabius, ministre des affaires étrangères et du développement international, avec Europe 1 le 27 août 2014, sur la politique du gouvernement et sur la situation au Proche-Orient.","https://www.vie-publique.fr/discours/192174-interview-de-m-laurent-fabius-ministre-des-affaires-etrangeres-et-du-d","Laurent Fabius","Laurent Fabius
               ;","Jean-Pierre Elkabbach","","Jean-Pierre Elkabbach",""
"1746614052-5","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2014-08-26&field_date_prononciation_discour_interval%5Bmax%5D=2016-12-06&field_type_de_document%5B9353%5D=9353&page= 147","Interview de M. Jean-Marie Le Guen, secrétaire d'Etat aux relations avec le Parlement, à I-Télé le 27 août 2014, sur le remaniement gouvernemental et les relations entre le gouvernement et le groupe parlementaire du PS.","https://www.vie-publique.fr/discours/192205-interview-de-m-jean-marie-le-guen-secretaire-detat-aux-relations-avec","Jean-Marie Le Guen","Jean-Marie Le Guen
               ;","Bruce Toussaint","","Bruce Toussaint",""
"1746614055-6","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2014-08-26&field_date_prononciation_discour_interval%5Bmax%5D=2016-12-06&field_type_de_document%5B9353%5D=9353&page= 147","Interview de Mme Najat Vallaud-Belkacem,ministre de l'éducation nationale, de l'enseignement supérieur et de la recherche à France-Info le 27 août 2014, sur la théorie du genre et la rentrée scolaire.","https://www.vie-publique.fr/discours/192372-interview-de-mme-najat-vallaud-belkacemministre-de-leducation-national","Najat Vallaud-Belkacem","Najat Vallaud-Belkacem","","","",""
"1746614060-7","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2014-08-26&field_date_prononciation_discour_interval%5Bmax%5D=2016-12-06&field_type_de_document%5B9353%5D=9353&page= 146","Interview de M. Harlem Désir, secrétaire d'Etat aux affaires européennes, avec Itélé le 28 août 2014, sur la politique du gouvernement.","https://www.vie-publique.fr/discours/192178-interview-de-m-harlem-desir-secretaire-detat-aux-affaires-europeennes","Harlem Désir","Harlem Désir
               ;","Bruce Toussaint","","Bruce Toussaint",""
"1746614063-8","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2014-08-26&field_date_prononciation_discour_interval%5Bmax%5D=2016-12-06&field_type_de_document%5B9353%5D=9353&page= 146","Interview de M. François Rebsamen, ministre du travail, de l'emploi, de la formation professionnelle et du dialogue social à France-Culture le 29 août 2014, sur la modulation de la durée du temps de travail et les chiffres du chômage.","https://www.vie-publique.fr/discours/259882-interview-de-m-francois-rebsamen-ministre-du-travail-de-lemploi-de","François Rebsamen","François Rebsamen","","","",""
"1746614065-9","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2014-08-26&field_date_prononciation_discour_interval%5Bmax%5D=2016-12-06&field_type_de_document%5B9353%5D=9353&page= 146","Entretien de M. Laurent Fabius, ministre des affaires étrangères et du développement international, avec France 24 le 29 août 2014, sur le groupe terroriste l'Etat islamique, la situation en Ukraine, le virus Ebola et sur la diplomatie économique.","https://www.vie-publique.fr/discours/192201-entretien-de-m-laurent-fabius-ministre-des-affaires-etrangeres-et-du-d","Laurent Fabius","Laurent Fabius","","","",""
"1746614068-10","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2014-08-26&field_date_prononciation_discour_interval%5Bmax%5D=2016-12-06&field_type_de_document%5B9353%5D=9353&page= 146","Entretien de M. Harlem Désir, secrétaire d'Etat aux affaires européennes, dans ""Les Echos"" du 29 août 2014, sur les propositions de la France pour relancer l'activité économique au sein de l'Union européenne.","https://www.vie-publique.fr/discours/192202-entretien-de-m-harlem-desir-secretaire-detat-aux-affaires-europeennes","Harlem Désir","Harlem Désir","","","",""
"1746614071-11","https://www.vie-publique.fr/discours/recherche?search_api_fulltext_discours=&sort_by=field_date_prononciation_discour&field_intervenant_title=&field_intervenant_qualite=&field_date_prononciation_discour_interval%5Bmin%5D=2014-08-26&field_date_prononciation_discour_interval%5Bmax%5D=2016-12-06&field_type_de_document%5B9353%5D=9353&page= 146","Interview de M. Bernard Cazeneuve, ministre de l'intérieur, à Europe 1 le 29 août 2014, sur la lutte contre les filières de l'immigration clandestine, la situation des immigrés à Calais et les mesures pour éviter le basculement de ressortissants français dans les groupes djihadistes.","https://www.vie-publique.fr/discours/192206-interview-de-m-bernard-cazeneuve-ministre-de-linterieur-europe-1-l","Bernard Cazeneuve","Bernard Cazeneuve
               ;","Jean-Pierre Elkabbach","","Jean-Pierre Elkabbach",""
